"","Cluster_minmax"
"Aa en Hunze",6
"Berkelland",6
"Borger-Odoorn",6
"Borsele",6
"Bronckhorst",6
"Buren",6
"Coevorden",6
"Dinkelland",6
"Heerenveen",6
"Hof van Twente",6
"Horst aan de Maas",6
"Hulst",6
"Leudal",6
"Lochem",6
"Midden-Drenthe",6
"Moerdijk",6
"Molenlanden",6
"Oldambt",6
"Ooststellingwerf",6
"Opsterland",6
"Raalte",6
"Steenwijkerland",6
"Terneuzen",6
"Tytsjerksteradiel",6
"Venray",6
"Vijfheerenlanden",6
"Westerveld",6
"Westerwolde",6
"Weststellingwerf",6
"De Wolden",6
