"","Cluster_minmax"
"Altena",8
"Emmen",8
"De Fryske Marren",8
"Hardenberg",8
"Hoeksche Waard",8
"Het Hogeland",8
"Hollands Kroon",8
"Midden-Groningen",8
"Noardeast-Fryslân",8
"Noordoostpolder",8
"Súdwest-Fryslân",8
"Waadhoeke",8
"West Betuwe",8
"Westerkwartier",8
