"","Cluster_minmax"
"Almere",5
"Amersfoort",5
"Arnhem",5
"Breda",5
"Eindhoven",5
"Enschede",5
"Groningen",5
"'s-Hertogenbosch",5
"Nijmegen",5
"Tilburg",5
"Utrecht",5
"Zaanstad",5
"Zwolle",5
