"","Cluster_minmax"
"Alphen aan den Rijn",1
"Apeldoorn",1
"Deventer",1
"Dronten",1
"Ede",1
"Haarlemmermeer",1
"Krimpenerwaard",1
"Leeuwarden",1
"Lelystad",1
"Medemblik",1
"Meierijstad",1
"Oss",1
"Oude IJsselstreek",1
"Overbetuwe",1
"Peel en Maas",1
"Sittard-Geleen",1
"Utrechtse Heuvelrug",1
"Venlo",1
"Westland",1
