"","Cluster_minmax"
"Amstelveen",9
"Barendrecht",9
"Capelle aan den IJssel",9
"Delft",9
"Dordrecht",9
"Etten-Leur",9
"Gouda",9
"Haarlem",9
"Harderwijk",9
"Heerhugowaard",9
"Heerlen",9
"Den Helder",9
"Hilversum",9
"Hoorn",9
"Katwijk",9
"Kerkrade",9
"Landgraaf",9
"Leiden",9
"Leidschendam-Voorburg",9
"Maastricht",9
"Nieuwegein",9
"Pijnacker-Nootdorp",9
"Purmerend",9
"Ridderkerk",9
"Schiedam",9
"Veenendaal",9
"Veldhoven",9
"Velsen",9
"Vlaardingen",9
"Vlissingen",9
"Zoetermeer",9
