"","Cluster_minmax"
"Aalten",2
"Achtkarspelen",2
"Beekdaelen",2
"Berg en Dal",2
"Bergeijk",2
"Bergen (L.)",2
"Bergen (NH.)",2
"Bernheze",2
"Bladel",2
"Bodegraven-Reeuwijk",2
"Boxmeer",2
"Cranendonck",2
"Cuijk",2
"Dalfsen",2
"Dantumadiel",2
"Delfzijl",2
"Deurne",2
"Drechterland",2
"Drimmelen",2
"Echt-Susteren",2
"Eersel",2
"Eijsden-Margraten",2
"Elburg",2
"Epe",2
"Gemert-Bakel",2
"Gulpen-Wittem",2
"Haaren",2
"Halderberge",2
"Heerde",2
"Heeze-Leende",2
"Hellendoorn",2
"Hilvarenbeek",2
"Hoogeveen",2
"Kaag en Braassem",2
"Koggenland",2
"Laarbeek",2
"Landerd",2
"Lopik",2
"Losser",2
"Maasdriel",2
"Maasgouw",2
"Meerssen",2
"Montferland",2
"Neder-Betuwe",2
"Nederweert",2
"Nieuwkoop",2
"Noordenveld",2
"Nunspeet",2
"Oirschot",2
"Oldebroek",2
"Olst-Wijhe",2
"Ommen",2
"Oost Gelre",2
"Reimerswaal",2
"Reusel-De Mierden",2
"Roerdalen",2
"De Ronde Venen",2
"Rucphen",2
"Sint Anthonis",2
"Sint-Michielsgestel",2
"Someren",2
"Stadskanaal",2
"Staphorst",2
"Steenbergen",2
"Stichtse Vecht",2
"Tholen",2
"Tubbergen",2
"Twenterand",2
"Tynaarlo",2
"Voorst",2
"West Maas en Waal",2
"Wierden",2
"Wijdemeren",2
"Winterswijk",2
"Woensdrecht",2
"Zaltbommel",2
"Zeewolde",2
"Zevenaar",2
"Zundert",2
"Zwartewaterland",2
