"","Cluster_standardized"
"Aa en Hunze",2
"Altena",2
"Barneveld",2
"Berkelland",2
"Borger-Odoorn",2
"Bronckhorst",2
"Buren",2
"Coevorden",2
"Dronten",2
"Hardenberg",2
"Heerenveen",2
"Hof van Twente",2
"Hollands Kroon",2
"Horst aan de Maas",2
"Krimpenerwaard",2
"Leudal",2
"Lochem",2
"Medemblik",2
"Midden-Drenthe",2
"Midden-Groningen",2
"Moerdijk",2
"Molenlanden",2
"Noardeast-Fryslân",2
"Noordoostpolder",2
"Oldambt",2
"Ooststellingwerf",2
"Opsterland",2
"Peel en Maas",2
"Schagen",2
"Sluis",2
"Steenwijkerland",2
"Terneuzen",2
"Tytsjerksteradiel",2
"Utrechtse Heuvelrug",2
"Veere",2
"Venray",2
"Vijfheerenlanden",2
"Waadhoeke",2
"West Betuwe",2
"Westerkwartier",2
"Westerveld",2
"Westerwolde",2
"De Wolden",2
