"","Cluster_standardized"
"Alphen aan den Rijn",8
"Apeldoorn",8
"Ede",8
"Emmen",8
"Haarlemmermeer",8
"'s-Hertogenbosch",8
"Hoeksche Waard",8
"Leeuwarden",8
"Meierijstad",8
"Oss",8
"Sittard-Geleen",8
"Venlo",8
"Westland",8
