"","Cluster_standardized"
"Alkmaar",5
"Almelo",5
"Amersfoort",5
"Assen",5
"Delft",5
"Deventer",5
"Dordrecht",5
"Haarlem",5
"Heerlen",5
"Helmond",5
"Hengelo (O.)",5
"Hilversum",5
"Leiden",5
"Maastricht",5
"Nissewaard",5
"Roosendaal",5
"Zaanstad",5
"Zoetermeer",5
"Zwolle",5
