"","Cluster_standardized"
"Amstelveen",7
"Barendrecht",7
"Bergen op Zoom",7
"Capelle aan den IJssel",7
"Etten-Leur",7
"Geldrop-Mierlo",7
"Gooise Meren",7
"Gorinchem",7
"Gouda",7
"Harderwijk",7
"Heerhugowaard",7
"Den Helder",7
"Hellevoetsluis",7
"Hoorn",7
"Houten",7
"Huizen",7
"Katwijk",7
"Kerkrade",7
"Landgraaf",7
"Lansingerland",7
"Leidschendam-Voorburg",7
"Middelburg (Z.)",7
"Nieuwegein",7
"Noordwijk",7
"Oosterhout",7
"Pijnacker-Nootdorp",7
"Purmerend",7
"Rheden",7
"Ridderkerk",7
"Rijswijk (ZH.)",7
"Schiedam",7
"Soest",7
"Teylingen",7
"Tiel",7
"Veenendaal",7
"Veldhoven",7
"Velsen",7
"Vlaardingen",7
"Zeist",7
"Zutphen",7
"Zwijndrecht",7
