"","Cluster_normalized"
"Aalten",9
"Achtkarspelen",9
"Beekdaelen",9
"Berg en Dal",9
"Bergeijk",9
"Bergen (NH.)",9
"Bernheze",9
"De Bilt",9
"Bodegraven-Reeuwijk",9
"Boxmeer",9
"Cranendonck",9
"Dalfsen",9
"Delfzijl",9
"Deurne",9
"Doetinchem",9
"Drimmelen",9
"Echt-Susteren",9
"Eijsden-Margraten",9
"Elburg",9
"Epe",9
"Gemert-Bakel",9
"Halderberge",9
"Hellendoorn",9
"Heusden",9
"Hoogeveen",9
"Kaag en Braassem",9
"Kampen",9
"Koggenland",9
"Laarbeek",9
"Lingewaard",9
"Maasdriel",9
"Maasgouw",9
"Montferland",9
"Neder-Betuwe",9
"Nieuwkoop",9
"Nijkerk",9
"Noordenveld",9
"Oost Gelre",9
"Reimerswaal",9
"Rijssen-Holten",9
"Roerdalen",9
"Roermond",9
"De Ronde Venen",9
"Sint-Michielsgestel",9
"Smallingerland",9
"Stadskanaal",9
"Steenbergen",9
"Stichtse Vecht",9
"Tholen",9
"Tubbergen",9
"Twenterand",9
"Tynaarlo",9
"Voorst",9
"Waalwijk",9
"Weert",9
"West Maas en Waal",9
"Wierden",9
"Wijdemeren",9
"Woensdrecht",9
"Woerden",9
"Zaltbommel",9
"Zeewolde",9
"Zevenaar",9
"Zuidplas",9
"Zundert",9
"Zwartewaterland",9
