"","Cluster_normalized"
"Alphen aan den Rijn",2
"Apeldoorn",2
"Deventer",2
"Dronten",2
"Ede",2
"Haarlemmermeer",2
"Krimpenerwaard",2
"Leeuwarden",2
"Lelystad",2
"Medemblik",2
"Meierijstad",2
"Oss",2
"Oude IJsselstreek",2
"Overbetuwe",2
"Peel en Maas",2
"Sittard-Geleen",2
"Utrechtse Heuvelrug",2
"Venlo",2
"Westland",2
