"","Cluster_normalized"
"Aalsmeer",6
"Albrandswaard",6
"Alphen-Chaam",6
"Asten",6
"Baarle-Nassau",6
"Beemster",6
"Bergen (L.)",6
"Beuningen",6
"Bladel",6
"Bloemendaal",6
"Boekel",6
"Boxtel",6
"Brielle",6
"Brummen",6
"Bunnik",6
"Castricum",6
"Cuijk",6
"Dantumadiel",6
"Drechterland",6
"Druten",6
"Edam-Volendam",6
"Eersel",6
"Ermelo",6
"Gennep",6
"Gilze en Rijen",6
"Goes",6
"Grave",6
"Gulpen-Wittem",6
"Haaksbergen",6
"Haaren",6
"Heerde",6
"Heeze-Leende",6
"Heumen",6
"Hilvarenbeek",6
"Kapelle",6
"Landerd",6
"Langedijk",6
"Leusden",6
"Loon op Zand",6
"Lopik",6
"Loppersum",6
"Losser",6
"Meerssen",6
"Meppel",6
"Midden-Delfland",6
"Mill en Sint Hubert",6
"Montfoort",6
"Nederweert",6
"Noord-Beveland",6
"Noordwijk",6
"Nunspeet",6
"Oirschot",6
"Oisterwijk",6
"Oldebroek",6
"Olst-Wijhe",6
"Ommen",6
"Opmeer",6
"Pekela",6
"Putten",6
"Renkum",6
"Reusel-De Mierden",6
"Rhenen",6
"Rucphen",6
"Simpelveld",6
"Sint Anthonis",6
"Someren",6
"Son en Breugel",6
"Staphorst",6
"Stein (L.)",6
"Uden",6
"Valkenburg aan de Geul",6
"Veendam",6
"Voerendaal",6
"Waalre",6
"Waterland",6
"Westvoorne",6
"Wijchen",6
"Winterswijk",6
