"","Cluster_normalized"
"Almere",3
"Amersfoort",3
"Arnhem",3
"Breda",3
"Eindhoven",3
"Enschede",3
"Groningen",3
"'s-Hertogenbosch",3
"Nijmegen",3
"Tilburg",3
"Utrecht",3
"Zaanstad",3
"Zwolle",3
