"","Cluster_normalized"
"Altena",10
"Emmen",10
"De Fryske Marren",10
"Hardenberg",10
"Hoeksche Waard",10
"Het Hogeland",10
"Hollands Kroon",10
"Noardeast-Fryslân",10
"Súdwest-Fryslân",10
"Waadhoeke",10
"Westerkwartier",10
