"","Cluster_normalized"
"Alkmaar",5
"Almelo",5
"Amstelveen",5
"Assen",5
"Bergen op Zoom",5
"Capelle aan den IJssel",5
"Delft",5
"Dordrecht",5
"Etten-Leur",5
"Geldrop-Mierlo",5
"Gooise Meren",5
"Gouda",5
"Haarlem",5
"Harderwijk",5
"Heerhugowaard",5
"Heerlen",5
"Den Helder",5
"Helmond",5
"Hengelo (O.)",5
"Hilversum",5
"Hoorn",5
"Houten",5
"Katwijk",5
"Kerkrade",5
"Lansingerland",5
"Leiden",5
"Leidschendam-Voorburg",5
"Maastricht",5
"Middelburg (Z.)",5
"Nieuwegein",5
"Nissewaard",5
"Oosterhout",5
"Pijnacker-Nootdorp",5
"Purmerend",5
"Rheden",5
"Roosendaal",5
"Soest",5
"Tiel",5
"Veenendaal",5
"Veldhoven",5
"Velsen",5
"Zeist",5
"Zoetermeer",5
"Zutphen",5
