"RowName","Distance"
"Amersfoort                              ",43626.5023470826
"Apeldoorn                               ",47969.456825255
"Boxtel                                  ",50182.7899991621
"Haaksbergen                             ",51763.0287104609
"Zwijndrecht                             ",63458.9395047695
"Laren                                   ",63542.2058348622
"Haaksbergen                             ",16120.7240944692
"Enkhuizen                               ",17237.4865055785
"Hengelo                                 ",23752.743968645
"Amersfoort                              ",27894.8842103709
"Woudenberg                              ",30067.6590394064
"Nijkerk                                 ",33167.9966237034
"Boxtel                                  ",33355.5595076743
"Haarlem                                 ",40243.9777390357
"Apeldoorn                               ",47969.456825255
"Zwijndrecht                             ",57769.5937242076
"Bergen (NH.)                            ",5517.75218182187
"Veldhoven                               ",5546.28888447041
"Almelo                                  ",6809.1123547787
"Zeewolde                                ",8335.34876834797
"Stein                                   ",8585.7959497067
"Buren                                   ",11071.5625496133
"Nederweert                              ",11187.2974935862
"Hoogeveen                               ",12058.0027906781
"Veendam                                 ",12078.953683991
"Vijfheerenlanden                        ",12422.3850471638
"Gemert-Bakel                            ",3293.55947722217
"Heemstede                               ",3642.59029538047
"Dalfsen                                 ",3664.68254150342
"Hillegom                                ",4101.40659408452
"Neder-Betuwe                            ",4362.01947611425
"'s-Hertogenbosch                        ",4363.44865215577
"Soest                                   ",4376.74582766694
"Loon op Zand                            ",4411.38812280216
"De Wolden                               ",4413.78319925209
"West Betuwe                             ",4515.92355338307
"Alphen-Chaam                            ",5916.39128607972
"Noardeast-Fryslân                       ",6016.11317795801
"Ouder-Amstel                            ",7232.57467296398
"Ede                                     ",7380.20295317141
"Montfoort                               ",8418.60538212832
"Renkum                                  ",8507.09934760374
"Zoetermeer                              ",8596.63374757818
"Bodegraven-Reeuwijk                     ",8645.91969775339
"Peel en Maas                            ",8957.10015295129
"Utrechtse Heuvelrug                     ",9293.72079901263
"Heeze-Leende                            ",2926.00838344664
"Noordwijk                               ",3211.92003947794
"Goes                                    ",3317.75709327853
"Druten                                  ",3353.09040737049
"Borger-Odoorn                           ",3575.69005647861
"Blaricum                                ",3601.68794456155
"Doetinchem                              ",3637.2355505246
"Wijdemeren                              ",3814.3367876998
"Best                                    ",3897.47894670388
"Lochem                                  ",3929.72075471019
"Hardenberg                              ",5274.4721498933
"Rhenen                                  ",5913.20289183451
"Smallingerland                          ",6284.34479480558
"Veere                                   ",6373.03259131789
"Horst aan de Maas                       ",6403.52688524066
"Zundert                                 ",7660.87636435937
"Zoeterwoude                             ",7827.79126893404
"Leusden                                 ",7877.16550099082
"Zwartewaterland                         ",7894.95046532909
"Meppel                                  ",8753.76784076434
"Venray                                  ",6691.36369210343
"Krimpen aan den IJssel                  ",8533.30757151059
"Altena                                  ",9404.84524593573
"Maasgouw                                ",10052.4418018708
"Kaag en Braassem                        ",10442.1086529494
"Hollands Kroon                          ",12498.9356066827
"Sluis                                   ",13599.0556411098
"Weesp                                   ",15437.5366344505
"Stein                                   ",15656.1321245064
"Heerde                                  ",16576.5036895601
"Vaals                                   ",2573.15803634367
"Waadhoeke                               ",3017.42209510039
"Westerveld                              ",3125.73274929256
"Brunssum                                ",3176.64369736362
"Breda                                   ",3268.2135165867
"Someren                                 ",3445.85914540917
"De Wolden                               ",3518.71471136834
"'s-Hertogenbosch                        ",3646.04295504044
"Oude IJsselstreek                       ",3869.67674489743
"Beekdaelen                              ",4125.15285898596
"Beesel                                  ",3279.64038577403
"Molenlanden                             ",4334.70750454976
"Capelle aan den IJssel                  ",4800.37811948184
"Bloemendaal                             ",4990.95472730419
"Echt-Susteren                           ",5630.51154692005
"Borsele                                 ",5708.19324392579
"Meierijstad                             ",6185.9372830639
"Oirschot                                ",6194.67895051874
"Goeree-Overflakkee                      ",6812.50315302679
"Ridderkerk                              ",7033.37994281554
"Vlissingen                              ",1705.14739832074
"Tytsjerksteradiel                       ",1961.85831547541
"Harlingen                               ",2133.87022332662
"Montferland                             ",2169.63570444441
"Wormerland                              ",2336.34503873037
"Kampen                                  ",2818.23456440375
"Oostzaan                                ",3077.21778559789
"Oude IJsselstreek                       ",3336.82693587786
"Bladel                                  ",3374.05113920936
"Landgraaf                               ",3392.12251842412
"Beekdaelen                              ",3279.64038577403
"Molenlanden                             ",3566.3264194406
"Bloemendaal                             ",4298.73145358023
"Borsele                                 ",4552.68855403046
"Oirschot                                ",4624.92834322868
"Capelle aan den IJssel                  ",5529.67151736882
"Duiven                                  ",5574.66164354394
"Tubbergen                               ",5657.59402749968
"Echt-Susteren                           ",5755.47923460766
"Meierijstad                             ",5898.13843767676
"Oegstgeest                              ",679.184290159895
"Oldenzaal                               ",2416.59896341946
"Neder-Betuwe                            ",2430.4075872166
"Dalfsen                                 ",2547.50172522022
"Eemsdelta                               ",3022.18737506462
"Soest                                   ",3291.57577916718
"West Betuwe                             ",3393.72750968607
"Heemstede                               ",3511.40670814419
"Rijswijk                                ",3790.3237711309
"Heerlen                                 ",3791.28556692845
"Renswoude                               ",4191.03113684449
"Hillegom                                ",4572.96864192179
"Alphen-Chaam                            ",4611.17008361218
"Loon op Zand                            ",4877.86915568673
"Groningen                               ",5157.5044827901
"Heerlen                                 ",5334.29125282825
"Neder-Betuwe                            ",6660.37537530731
"Weststellingwerf                        ",7194.40899727003
"Asten                                   ",8031.63771904585
"Stadskanaal                             ",8039.21033497694
"Duiven                                  ",5203.18461040928
"Son en Breugel                          ",5518.47725282981
"Ommen                                   ",5753.21000312
"Drechterland                            ",5976.26665737064
"Wijk bij Duurstede                      ",6535.83179939631
"Nieuwegein                              ",6954.46412026117
"Geldrop-Mierlo                          ",7011.93690644746
"Delft                                   ",7083.2792617544
"Achtkarspelen                           ",7172.90670370109
"Aalten                                  ",7285.81274189778
"Assen                                   ",5517.75218182187
"Veldhoven                               ",6062.84793558275
"Stein                                   ",6246.50328183697
"Almelo                                  ",9774.15807320508
"Zeewolde                                ",9876.4923950763
"Nederweert                              ",11264.5991508797
"Kapelle                                 ",11369.0782431998
"Veendam                                 ",11478.8764711534
"Buren                                   ",12494.7864355498
"Landsmeer                               ",13045.2816454839
"Steenbergen                             ",7990.08955832161
"Vught                                   ",8387.50339016325
"Hoorn                                   ",10100.2040662553
"Moerdijk                                ",11582.7321595554
"Oisterwijk                              ",12078.7167000472
"Brielle                                 ",12527.777462104
"Rucphen                                 ",12939.8305027539
"Venlo                                   ",13852.6740072089
