"","AantalInwoners_5","Mannen_6","Vrouwen_7","k_0Tot15Jaar_8","k_15Tot25Jaar_9","k_25Tot45Jaar_10","k_45Tot65Jaar_11","k_65JaarOfOuder_12","Ongehuwd_13","Gehuwd_14","Gescheiden_15","HuishoudensTotaal_28","Eenpersoonshuishoudens_29","HuishoudensZonderKinderen_30","HuishoudensMetKinderen_31","GemiddeldeHuishoudensgrootte_32","Bevolkingsdichtheid_33","PercentageEengezinswoning_36","PercentageMeergezinswoning_37","PercentageBewoond_38","PercentageOnbewoond_39","Koopwoningen_40","HuurwoningenTotaal_41","InBezitWoningcorporatie_42","InBezitOverigeVerhuurders_43","BouwjaarVoor2000_45","BouwjaarVanaf2000_46","BedrijfsvestigingenTotaal_91","ALandbouwBosbouwEnVisserij_92","BFNijverheidEnEnergie_93","GIHandelEnHoreca_94","HJVervoerInformatieEnCommunicatie_95","KLFinancieleDienstenOnroerendGoed_96","MNZakelijkeDienstverlening_97","OQOverheidOnderwijsEnZorg_98","RUCultuurRecreatieOverigeDiensten_99","AfstandTotHuisartsenpraktijk_106","AfstandTotGroteSupermarkt_107","AfstandTotKinderdagverblijf_108","OppervlakteTotaal_111","OppervlakteLand_112","OppervlakteWater_113","MateVanStedelijkheid_116","Omgevingsadressendichtheid_117","Cluster"
"AantalInwoners_5",1,0.999905502814406,0.999908493167543,0.992920701756041,0.988122865408345,0.991205693292058,0.99632832931964,0.979267718656055,0.994677953748828,0.981166594663692,0.990033793673841,0.996686921088369,0.97897016770841,0.995649091285521,0.993886497367278,-0.338845071099563,0.518736375693733,-0.602695622207386,0.602695622207386,-0.00591406240208007,0.00591406240208007,-0.563854594093707,0.56355745334525,0.397757685421624,0.414435034436837,-0.0372968129403899,0.0372968129403899,0.973813737928426,0.289855822510231,0.919966987331964,0.980570549490849,0.927154039216104,0.93476834166087,0.951512967964843,0.98373263031572,0.93587737543452,-0.26193811467317,-0.255892591975932,-0.34301090035805,0.123499420544659,0.156066666616943,0.0314054635481397,-0.45705320174959,0.701802223080835,-0.159337336004118
"Mannen_6",0.999905502814406,1,0.999628033298531,0.992642083425253,0.9881152781037,0.9909757028091,0.996382253848426,0.979345166410101,0.994400372178576,0.981442640247009,0.989921673697499,0.996526676234767,0.978683989897775,0.995720150611498,0.993781613782672,-0.337591239527817,0.5158059416903,-0.599545082272609,0.599545082272609,-0.00523456397517254,0.00523456397517255,-0.562203440341343,0.561971880481928,0.396908744544356,0.412853501615466,-0.0384151260440633,0.0384151260440632,0.973403371526368,0.293696339149856,0.920744448261031,0.980604649677977,0.926466170417938,0.934367771985176,0.95068031943639,0.982647762495799,0.935260366738613,-0.259452895222067,-0.253630800047685,-0.340576420627666,0.126431143138174,0.159544744622214,0.0324385651660326,-0.454340900020954,0.699307600019656,-0.159580228534092
"Vrouwen_7",0.999908493167543,0.999628033298531,1,0.993011685646587,0.987948026106809,0.991249141309442,0.996091445348495,0.979010834258974,0.994767593206503,0.980713929518592,0.989961467301998,0.99666072457335,0.979071164343539,0.99539547111575,0.993806339204369,-0.340016389568024,0.521524367233983,-0.605684719010338,0.605684719010338,-0.00658163244679437,0.00658163244679435,-0.565375384331428,0.565013763458863,0.398519701564747,0.41591488156547,-0.0361894545604606,0.0361894545604606,0.97403789382816,0.286023080408604,0.919032195004291,0.980356080946209,0.927659880221874,0.934990060835536,0.952156785476062,0.984618700069266,0.936311877050676,-0.264335370826695,-0.258071099411152,-0.345343268356923,0.120591670457985,0.152615266333576,0.0303830445597223,-0.459637920339878,0.704127579306519,-0.159068920100928
"k_0Tot15Jaar_8",0.992920701756041,0.992642083425253,0.993011685646587,1,0.974938280592365,0.979112615096795,0.992186065539271,0.970272120265008,0.982411033887648,0.985843513344701,0.982366102574967,0.981767849611048,0.954242799241312,0.981645755560885,0.997801639593887,-0.28760183259272,0.529193044447819,-0.597923025641652,0.597923025641652,0.00913632499836647,-0.00913632499836642,-0.545041019632734,0.544756865584041,0.390223501012125,0.393447642778441,-0.0785634296090267,0.0785634296090267,0.958427363422151,0.318733684827797,0.934763575151089,0.962851662740484,0.90397794316223,0.913759676900875,0.932439246993691,0.97239647070124,0.907987773217851,-0.26861238493297,-0.262073991923447,-0.355582031957552,0.122244937315344,0.151577479767653,0.0347694268913445,-0.465241679184637,0.699512450002558,-0.174322345217056
"k_15Tot25Jaar_9",0.988122865408345,0.9881152781037,0.987948026106809,0.974938280592365,1,0.981741469571381,0.976375287038858,0.960222777158244,0.989049659440923,0.959275659570886,0.969792840080702,0.990492194150551,0.982290711864896,0.984682957705951,0.973486222678692,-0.359721862034687,0.5119940353284,-0.608722612206959,0.608722612206959,-0.0082169444621481,0.00821694446214811,-0.58226536413457,0.581930123712575,0.39661564741327,0.446484743973153,-0.0532893659828875,0.0532893659828875,0.954338717704901,0.263660258656187,0.889554983279279,0.961610557288387,0.908875001495537,0.911385015051842,0.933586947211755,0.97246896969976,0.920047251761126,-0.260438727378382,-0.254336850135616,-0.335975035334379,0.115020113272954,0.147016326519135,0.0271383793569908,-0.455734297464111,0.702972576611529,-0.152614824900534
"k_25Tot45Jaar_10",0.991205693292058,0.9909757028091,0.991249141309442,0.979112615096795,0.981741469571381,1,0.979228826860991,0.948157702133192,0.998463371927906,0.950336235968259,0.97613985321098,0.995297336341418,0.990151784898299,0.984077254347265,0.97674243961731,-0.326718407482,0.513775283223287,-0.589214256146367,0.589214256146367,-0.0240037046424593,0.0240037046424594,-0.545692128179486,0.545181851980508,0.370159913835393,0.421689055232454,-0.0457241767471784,0.0457241767471783,0.988641971179889,0.244291360841982,0.894720204435099,0.987334827064501,0.961368980005613,0.953387390381717,0.976687357039237,0.991844526829621,0.966762798933129,-0.252494000377012,-0.246105927427236,-0.323894193710888,0.0953023510780271,0.116000913525856,0.0298586723596238,-0.425766699811198,0.687291746553702,-0.119200149638965
"k_45Tot65Jaar_11",0.99632832931964,0.996382253848426,0.996091445348495,0.992186065539271,0.976375287038858,0.979228826860991,1,0.986855431945004,0.983904819988815,0.990013487038816,0.99158458477112,0.988297303009833,0.96247635438579,0.993187048601041,0.996544972308858,-0.334838269810417,0.51109151142528,-0.592762829365254,0.592762829365254,0.00527161362136773,-0.00527161362136774,-0.555450476011824,0.555382116490974,0.401222971516847,0.395777604260508,-0.0339344353417268,0.0339344353417268,0.964017404534083,0.318175842678762,0.930383417623348,0.974365591906068,0.909470846493234,0.925281061970905,0.936773620879746,0.97307987649818,0.919436590205832,-0.259604840195231,-0.252917955253615,-0.344146379683738,0.13810705103474,0.176957654438188,0.03203555534033,-0.460018823515598,0.694917476545884,-0.178928016988117
"k_65JaarOfOuder_12",0.979267718656055,0.979345166410101,0.979010834258974,0.970272120265008,0.960222777158244,0.948157702133192,0.986855431945004,1,0.957268446154631,0.987749265191693,0.981148080123387,0.970062055727447,0.939828254700566,0.985659183226146,0.978535764418507,-0.383636382026439,0.504488693120992,-0.609590431409819,0.609590431409819,0.00336027920355688,-0.00336027920355685,-0.584061708029743,0.583906138213371,0.436972057127091,0.393734355560067,0.0355257492735159,-0.0355257492735159,0.927417987802223,0.321427673910928,0.912978877067475,0.947807788723996,0.860135694760063,0.891260664378085,0.893829725346497,0.941413162800432,0.876249226885838,-0.264603814390427,-0.261337046127336,-0.355535995841996,0.163824210617536,0.214373849243672,0.0323377767742489,-0.48564033127326,0.701523396809602,-0.197686979714948
"Ongehuwd_13",0.994677953748828,0.994400372178576,0.994767593206503,0.982411033887648,0.989049659440923,0.998463371927906,0.983904819988815,0.957268446154631,1,0.956752920611397,0.980426093936035,0.998202156162551,0.992011868700476,0.988128075281644,0.980597033739133,-0.33934694679516,0.515305137065342,-0.59745020759439,0.59745020759439,-0.0221347640630277,0.0221347640630277,-0.555591803021735,0.555031624839085,0.375108161109861,0.431460639242161,-0.0406468932219959,0.0406468932219959,0.985056930788988,0.258356619380287,0.901377473008431,0.985059535096572,0.9510992222271,0.947409560541537,0.970445103725801,0.992196633101892,0.95915390712256,-0.253898661826605,-0.246686903491223,-0.327428962296375,0.103266266828311,0.127106335423334,0.0305628737644692,-0.43318796034376,0.693527039960729,-0.126929842871919
"Gehuwd_14",0.981166594663692,0.981442640247009,0.980713929518592,0.985843513344701,0.959275659570886,0.950336235968259,0.990013487038816,0.987749265191693,0.956752920611397,1,0.972858230769226,0.964104043627206,0.924289652126882,0.980821345149651,0.990455269639146,-0.306947167155296,0.507448593567613,-0.586496196851412,0.586496196851412,0.0340569900406728,-0.0340569900406728,-0.55081441249423,0.551292337417831,0.418686841956983,0.364106800625768,-0.0540610479220183,0.0540610479220182,0.926685218347261,0.348613987887434,0.923900834309822,0.944374133978412,0.859462721282863,0.888903564364127,0.891795681580179,0.941181101297989,0.86770174214937,-0.265520447477039,-0.260354627569545,-0.35919003732148,0.161477912785164,0.213625777013328,0.028928687879554,-0.483975791226289,0.692703719700698,-0.222131325784741
