;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|Totaal mannen en vrouwen;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|Jonger dan 20 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|20 tot 65 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|65 tot 75 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|75 tot 85 jaar;Inwoners naar geslacht en leeftijd|Totaal mannen en vrouwen|85 jaar of ouder;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Totaal stedelijk gebied;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Zeer sterk stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners stedelijk gebied|Sterk stedelijk;Inwoners stedelijk en landelijk gebied|Matig stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Totaal landelijk gebied;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Weinig stedelijk;Inwoners stedelijk en landelijk gebied|Inwoners landelijk gebied|Niet stedelijk;Huishoudens|Eenouderhuishoudens;Woonkernen|Woonkernen: totaal;Woonkernen|Woonkernen: minimaal 500 adressen;Oppervlakten|Land|Land(Gf-Fvw): totaal;Oppervlakten|Land|Land(Gf-Fvw): buitengebied(Gf-Fvw);Oppervlakten|Land|Land(Gf-Fvw): woonkernen(Gf-Fvw);Oppervlakten|Water|Binnenwater(Gf-Fvw): totaal;Oppervlakten|Water|Buitenwater(Gf-Fvw): totaal;Oppervlakten|Bebouwing|Bebouwing: totaal;Oppervlakten|Bebouwing|Bebouwing: woonkernen(Gf-Fvw);Oppervlakten|Bebouwing|Bebouwing: buitengebied(Gf-Fvw);Oppervlakten|Bedrijfsterreinen;Vastgoed|Vastgoed, bron BAG|Woning totaal;Vastgoed|Vastgoed, bron BAG|Woning met functie: logies;Vastgoed|Vastgoed, bron BAG|Niet-woning met functie: logies;Periodieke bijstandsuitkeringen|Totaal bijstandsuitkeringen;Periodieke bijstandsuitkeringen|Algemene bijstand;Periodieke bijstandsuitkeringen|BBZ;Periodieke bijstandsuitkeringen|IOAW;Periodieke bijstandsuitkeringen|IOAZ;Periodieke bijstandsuitkeringen|Adreslozen;Minderheden;Banen van werknemers;Bedrijfsvestigingen;Inwoners in zorginstellingen;Uitwonende studenten
Edam-Volendam;36099;8269;20331;4641;2298;560;17120;0;17120;7930;11050;4550;6510;864;12;2;5434;4102;1332;303;2262;201;173;28;;15029;7;235;273;259;1;11;2;;935;;4845;320;120
Ede;115710;28862;65811;11763;6603;2671;59080;17030;42050;18350;38280;15240;23050;2686;24;6;31816;26965;4851;46;0;885;576;310;;48552;13;1030;1649;1476;3;105;4;61;6600;;13100;1520;2200
Eemnes;9113;2162;5102;1135;553;161;0;0;0;4150;4960;4300;660;299;3;1;3106;2579;527;265;0;56;45;12;;3910;0;1;74;68;0;6;0;;225;;1375;60;30
Eemsdelta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eemsmond;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eersel;19110;3948;10928;2292;1463;479;0;0;0;4690;14420;3940;10480;416;11;4;8246;6814;1432;87;0;217;128;89;;8277;3;202;127;122;1;4;0;;220;;2415;440;80
Eijsden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eijsden-Margraten;25658;5066;14245;3572;2112;663;0;0;0;3710;21950;5600;16350;574;20;5;7756;5629;2127;121;0;219;180;39;;11208;36;316;207;193;0;13;1;;355;;2735;350;130
Eindhoven;231642;45815;147186;20699;12704;5238;193310;111400;81910;24620;13710;12730;980;8214;3;1;8750;2826;5924;141;0;1231;1106;125;;111295;9;30;6376;5790;71;322;27;166;26415;;25350;2220;12740
Elburg;23086;5895;12686;2653;1356;496;0;0;0;3510;19570;13430;6140;501;7;3;6382;4948;1433;209;0;163;129;34;;9268;34;396;217;206;1;9;1;;265;;2145;370;100
Emmen;107113;22386;60579;13900;7677;2571;9880;0;9880;31880;65350;25010;40340;3663;29;11;33579;26759;6819;1047;0;894;672;222;;49187;19;373;3315;3032;26;204;11;42;2860;;9270;1330;750
Enkhuizen;18507;3966;10551;2408;1189;393;7340;0;7340;9860;1310;1100;210;688;1;1;1265;738;526;230;10130;121;100;21;;8754;16;15;323;306;3;12;2;;795;;2060;250;110
Enschede;158986;34046;96884;16027;8952;3077;110540;50070;60460;24010;24450;13270;11170;5760;8;2;14068;9093;4975;205;0;910;768;142;;74588;6;206;6050;5674;54;280;23;19;16075;;14075;2640;10190
Epe;33145;6965;17935;4588;2665;992;900;0;900;8410;23830;13480;10350;791;12;4;15610;13560;2050;127;0;290;176;113;;14349;3;815;397;364;4;25;4;;1340;;3485;460;140
Ermelo;26858;5917;14720;3441;2025;755;3160;0;3160;11340;12360;8350;4010;617;9;1;8562;6397;2165;170;0;226;189;37;;11002;2;2978;332;303;3;22;4;;735;;3075;1220;150
Etten-Leur;43774;9909;25021;5298;2695;851;28030;0;28030;8520;7220;5090;2130;1392;3;1;5529;4102;1427;63;0;341;249;92;;18967;0;22;662;605;5;50;2;;2755;;4175;560;220
Ferwerderadiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Franekeradeel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Friese Meren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Fryske Marren;51430;11620;28088;6817;3612;1293;790;0;790;10060;40580;14100;26480;1257;43;11;35110;31034;4076;6706;13094;545;337;208;;23209;1209;1634;770;674;24;58;14;;875;;6555;610;280
Gaasterlân-Sleat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geertruidenberg;21515;4690;12340;2719;1346;420;5350;0;5350;8390;7780;5570;2220;652;2;2;2658;1734;924;306;0;191;148;43;;9638;3;20;280;255;2;23;0;;520;;2300;320;80
Geldermalsen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Geldrop-Mierlo;39595;8576;22414;4801;2851;953;15030;0;15030;12430;12140;10310;1820;1285;2;2;3101;1573;1529;37;0;249;226;23;;17640;5;123;675;615;2;49;9;;1760;;3780;250;310
Gemert-Bakel;30447;6723;17873;3485;1780;586;4310;0;4310;7660;18470;7780;10700;808;11;4;12208;10649;1559;126;0;370;190;180;;12754;15;289;351;325;1;20;5;;460;;3400;210;110
Gennep;17071;3564;9590;2302;1228;387;0;0;0;4350;12720;5210;7510;444;5;3;4748;3559;1190;294;0;182;114;68;;7408;4;790;239;218;0;20;1;;465;;1620;680;60
Giessenlanden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gilze en Rijen;26431;5811;15169;3236;1720;495;8740;0;8740;5680;12010;8890;3120;795;8;2;6538;5152;1386;28;0;246;180;66;;11270;7;213;419;383;4;30;2;;1590;;2660;260;140
Goedereede;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goeree-Overflakkee;49611;11064;27858;5978;3413;1298;3280;0;3280;6870;39460;20620;18850;1062;25;14;26149;22281;3868;11719;4367;417;310;107;;21597;66;4379;467;424;5;35;3;;740;;5255;990;160
Goes;37653;7737;21070;4838;2763;1245;14650;0;14650;7260;15750;7590;8160;1173;7;3;9268;7386;1882;616;307;267;225;43;;18251;4;148;712;653;12;42;5;;1445;;4420;810;220
Goirle;23793;5393;13003;3252;1660;485;7550;0;7550;7080;9160;5980;3190;682;3;2;4297;3438;859;41;0;168;137;31;;10291;4;18;255;237;1;16;1;;670;;2485;350;150
Gooise Meren;57715;14659;30790;6312;4119;1835;35980;15540;20440;8830;12900;7240;5670;1846;9;3;4138;2343;1796;1282;2101;269;251;18;;26508;4;84;808;735;7;60;6;;2785;;9515;650;450
Gorinchem;36682;8278;21732;3765;2115;792;22310;2830;19480;10780;3600;2080;1520;1234;2;1;1867;867;1000;326;0;197;167;30;;16599;11;5;797;732;6;56;3;;4605;;3955;460;310
Gouda;73181;16680;42695;7890;4246;1670;62520;34730;27790;8070;2590;2380;210;2411;1;1;1662;248;1414;150;0;277;274;2;;33174;15;48;1568;1451;6;85;6;20;9680;;7160;1050;1030
Graafstroom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Graft-De Rijp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grave;12483;2620;7093;1663;833;274;0;0;0;1010;11480;8070;3410;341;3;1;2713;2017;697;90;0;88;63;25;;5446;6;38;137;127;0;9;1;;305;;1170;330;70
's-Gravenhage (gemeente);537833;123145;336668;45585;22778;9657;501930;443590;58340;26560;9340;7050;2300;24749;3;3;8241;1003;7238;356;1216;1547;1523;24;;259264;18;628;23345;20939;85;1006;72;1243;138430;;67130;8060;16900
Groesbeek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Groningen (gemeente);231299;43533;154417;19542;9684;4123;163080;129320;33760;30240;37980;20580;17400;7645;18;3;18529;12059;6470;1267;0;1042;927;115;;114733;7;351;10484;9648;202;480;33;121;12340;;24030;2680;35250
Grootegast;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gulpen-Wittem;14246;2283;8013;2251;1267;432;0;0;0;0;14250;3020;11230;349;20;4;7317;5925;1392;19;0;118;87;31;;6821;86;379;141;123;0;12;6;;155;;1590;230;70
Haaksbergen;24277;5310;13207;3175;1989;596;3790;0;3790;8360;12130;7230;4900;575;6;1;10473;9327;1146;77;0;256;159;97;;10410;9;301;311;287;3;15;6;;960;;2555;340;110
Haaren;14195;2910;8066;1909;1037;273;0;0;0;0;14200;5470;8730;315;6;3;5758;4729;1029;98;0;146;83;64;;5904;14;301;91;79;6;5;1;;185;;1905;440;60
Haarlem;161265;35489;98305;15586;8457;3428;156760;126810;29950;3440;1060;350;720;5934;2;1;2916;387;2530;293;0;587;580;7;;75633;35;25;3444;3073;24;158;15;174;16755;;21625;1620;2850
Haarlemmerliede en Spaarnwoude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haarlemmermeer;154235;37242;91251;15618;7693;2431;88000;16900;71100;32660;33580;19870;13710;5424;30;10;19740;13821;5919;891;0;1041;809;232;;63511;6;324;1825;1698;13;108;6;;13590;;19570;1240;1150
Halderberge;30194;6075;17130;4068;2197;724;1370;0;1370;4500;24330;16230;8100;857;9;5;7448;5679;1769;74;0;293;191;102;;13310;5;206;414;374;2;34;4;;1640;;3215;430;110
Hardenberg;60574;14960;34485;6370;3555;1204;0;0;0;10090;50480;17710;32780;1323;25;9;31218;27331;3887;497;0;651;345;306;;24513;10;1391;801;726;1;64;10;;820;;5900;860;290
Harderwijk;47581;11602;27334;5055;2630;960;21640;0;21640;19500;6450;2900;3550;1469;2;1;3896;2117;1779;931;0;279;250;29;;19450;4;758;823;767;4;49;3;;4320;;4925;470;330
Hardinxveld-Giessendam;18051;4714;9982;1842;1083;430;0;0;0;8550;9500;7910;1590;318;3;1;1685;979;706;251;0;109;103;5;;7312;0;7;145;135;1;8;1;;310;;1930;210;80
Haren;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harenkarspel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harlingen;15758;3431;8448;2258;1257;364;1620;0;1620;6800;7340;5800;1540;575;2;1;2495;1833;663;168;36103;121;91;30;;7627;2;5;512;465;9;37;1;;355;;1675;250;110
Hattem;12173;2941;6531;1512;872;317;0;0;0;3630;8550;6420;2130;261;2;1;2307;1596;711;108;0;76;65;12;;5277;0;126;103;89;2;11;1;;190;;1200;140;70
Heemskerk;39164;8226;22347;4520;2961;1110;32220;16990;15220;3120;3830;2050;1780;1420;3;1;2727;1531;1196;44;397;165;153;12;;17501;1;5;725;691;3;29;2;;2305;;3260;560;230
Heemstede;27286;6448;13566;3622;2480;1170;18610;2080;16530;2940;5730;5130;600;778;1;1;918;181;736;47;0;120;114;6;;12587;1;0;230;206;5;16;3;;830;;3815;600;120
Heerde;18546;4156;10055;2458;1377;500;0;0;0;2240;16300;10240;6060;363;8;2;7854;6602;1251;188;0;154;106;48;;7888;6;72;156;140;1;15;0;;225;;1740;260;70
Heerenveen;50257;11363;28096;5991;3466;1341;14310;1310;13000;6830;29110;8920;20190;1638;24;5;18986;15961;3025;831;0;457;301;156;;23532;11;116;1249;1097;43;95;14;;1790;;5610;680;530
Heerhugowaard;56742;14163;32647;6166;3038;728;34950;5480;29470;11400;10400;5980;4420;1929;4;2;3811;2036;1774;189;0;304;262;42;;23411;4;7;708;677;3;25;3;;4215;;5335;850;320
Heerlen;86832;15549;51500;10911;6342;2530;59870;8970;50900;20120;6850;5760;1090;4095;4;1;4491;1250;3241;62;0;519;473;46;;45834;6;12;3799;3645;17;100;11;26;5310;;6900;1330;1000
Heeze-Leende;15964;3248;8896;2103;1267;450;0;0;0;2640;13320;7330;5990;347;7;2;10394;9340;1055;110;0;171;107;64;;6817;17;200;109;97;1;8;3;;245;;2105;340;70
Heiloo;23464;5057;12188;3205;2181;833;9160;0;9160;5670;8630;7640;990;616;3;1;1869;893;977;32;0;121;113;8;;10574;0;2;199;188;2;8;1;;445;;2645;250;110
Helden;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Den Helder;55604;11067;32022;7349;3846;1320;33120;7450;25670;16220;6260;4280;1990;2380;4;2;4510;2541;1968;343;13027;333;275;58;;28056;3;1447;1526;1467;8;40;4;7;2950;;3690;1220;280
Hellendoorn;35808;8215;19817;4492;2452;832;3720;0;3720;9070;23020;12750;10270;822;8;2;13791;11861;1930;108;0;324;209;116;;14734;25;489;386;334;2;48;2;;475;;3250;580;160
Hellevoetsluis;40049;8440;23223;5418;2249;719;22270;1660;20600;10190;7590;4520;3080;1508;3;2;4110;2808;1302;1899;112;183;158;26;;17907;15;540;714;665;0;48;1;;2615;;3160;380;190
Helmond;91524;21261;54562;9342;4881;1478;50980;16150;34840;19760;20790;17290;3500;3337;1;1;5313;2232;3081;162;0;584;501;83;;40319;2;8;2332;2166;8;139;9;10;8600;;8220;540;600
Hendrik-Ido-Ambacht;30966;8342;17472;2905;1641;606;24970;1130;23840;4660;1340;1270;70;785;1;1;1049;339;710;141;0;114;112;2;;12214;0;0;308;292;1;12;3;;1560;;2780;240;170
Hengelo (O.);80683;17608;46961;8947;5104;2063;48120;17510;30610;18720;13840;10820;3020;2750;3;1;6082;3320;2762;101;0;522;456;66;;38373;4;61;2146;1960;19;145;22;;6990;;8025;740;1210
's-Hertogenbosch;154205;32566;94147;16307;8243;2942;89270;33940;55330;27230;37700;22380;15320;5230;8;5;10943;5736;5206;839;0;866;775;91;;72003;34;246;3258;2970;25;157;16;90;11975;;20220;1940;3230
Heumen;16486;3563;9007;2164;1321;431;0;0;0;5480;11010;6000;5010;446;4;2;3970;2984;986;184;0;123;89;34;;7160;6;107;233;206;7;18;2;;345;;1860;240;140
Heusden;44135;9564;25575;5253;2859;884;11620;0;11620;11530;20990;11680;9310;1157;3;2;7880;5705;2174;242;0;338;280;59;;18759;21;15;485;441;4;35;5;;1970;;5050;380;200
Hillegom;21966;4739;12701;2558;1428;540;13860;0;13860;4750;3360;1190;2170;665;2;1;1291;475;817;55;0;132;116;17;;9766;2;9;241;214;3;23;1;;705;;2340;330;100
Hilvarenbeek;15334;3300;8625;1942;1157;310;0;0;0;2380;12960;5560;7400;319;9;2;9483;8380;1103;168;0;198;105;94;;6591;3;585;116;101;3;11;1;;185;;2055;170;70
Hilversum;90238;20502;52614;9195;5523;2404;74660;51340;23310;8920;6660;5220;1440;3254;5;2;4544;2375;2168;91;0;394;383;11;;42324;4;20;2037;1826;21;106;13;71;7370;;12615;1240;1110
Hoeksche Waard;86656;19019;48469;11356;5837;1975;9790;0;9790;20110;56760;27880;28880;2226;29;12;26851;22588;4263;5517;0;595;472;124;;37542;23;22;788;725;7;53;3;;1745;;9350;970;360
Hof van Twente;34940;7438;18805;4677;2970;1050;0;0;0;6210;28730;15020;13710;797;9;5;21236;19361;1875;305;0;444;208;236;;15122;27;521;409;365;6;33;5;;710;;4260;420;180
Het Hogeland;47888;10634;26243;6719;3188;1104;0;0;0;1950;45930;15450;30490;1478;39;12;47838;43695;4143;2033;40887;576;306;270;;22631;388;28;1020;927;16;73;4;;795;;4630;720;350
Hollands Kroon;47815;10766;27246;5830;3057;916;0;0;0;1040;46780;18900;27880;1301;29;10;35752;32567;3184;1772;28696;521;265;256;;20786;13;135;475;436;7;28;4;;770;;5705;360;150
Hoogeveen;55662;12886;30987;6561;3809;1419;17310;2460;14850;12690;25660;10980;14680;1769;17;4;12760;10044;2716;165;0;445;337;108;;25147;90;39;1189;1108;6;62;13;;1375;;4975;930;310
Hoogezand-Sappemeer;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hoorn;73004;16706;42415;8661;3936;1286;43520;0;43520;20420;9060;8900;160;3053;1;1;2027;138;1889;119;3200;342;339;3;;32744;7;3;1439;1302;14;86;5;32;6725;;7405;700;480
Horst aan de Maas;42291;8850;24475;4989;2964;1013;1160;0;1160;7700;33440;12140;21300;953;17;9;18866;15983;2883;326;0;516;276;240;;17672;30;1458;319;293;3;21;2;;550;;4325;530;160
Houten;49911;13260;29509;4563;1870;709;29910;0;29910;10370;9630;6080;3550;1486;9;2;5490;3903;1587;408;0;255;213;42;;20271;3;41;493;450;7;35;1;;2245;;5820;390;390
Huizen;41273;9020;22831;5528;2867;1027;29440;12030;17410;7780;4050;2920;1130;1455;5;1;1581;473;1108;751;0;170;164;6;;18874;12;5;692;633;12;45;2;;3030;;5080;610;210
Hulst;27524;5101;15625;3798;2156;844;0;0;0;3060;24470;7130;17340;716;16;4;20124;17851;2274;341;4717;286;199;87;;13520;10;7;270;243;1;23;3;;430;;2540;550;50
IJsselstein;34160;8442;19802;3479;1774;663;22680;4220;18450;10400;1080;570;510;1254;2;1;2092;1378;714;76;0;151;133;19;;14377;4;4;496;461;3;30;2;;3365;;3590;330;200
Jacobswoude;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kaag en Braassem;26866;5882;15470;3261;1693;560;0;0;0;5360;21510;10830;10680;714;17;6;6317;4694;1623;907;0;189;147;42;;11486;11;335;227;210;0;16;1;;660;;3355;190;120
Kampen;53779;14295;30450;5115;2917;1002;23740;2520;21220;10470;19570;9120;10450;1312;9;1;14133;12158;1975;2046;0;371;263;108;;22097;11;9;829;759;4;63;3;;1805;;5155;750;520
Kapelle;12785;3165;6998;1486;800;336;0;0;0;1110;11670;9070;2600;297;4;2;3706;2995;711;110;1146;119;91;28;;5350;4;225;83;75;3;4;1;;225;;1375;110;60
Katwijk;65302;16447;37368;6750;3577;1160;55200;18700;36500;6990;3110;2130;990;1599;4;1;2472;1075;1396;166;477;300;259;42;;26724;7;79;822;768;1;50;3;;1705;;5415;780;370
Kerkrade;45642;7621;26466;6511;3790;1254;26140;5660;20480;13310;6190;5850;340;1881;1;1;2191;584;1607;24;0;294;260;34;;23679;1;4;1525;1454;8;58;5;;1765;;3075;960;170
Kessel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Koggenland;22738;5387;12795;2735;1352;469;0;0;0;20;22720;11050;11660;549;19;5;8037;6334;1703;292;79;190;127;63;;9395;21;5;165;153;2;7;3;;400;;2755;280;80
Kollumerland en Nieuwkruisland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Korendijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Krimpen aan den IJssel;29376;7021;15318;3713;2433;891;24010;2780;21230;4520;840;830;10;988;1;1;767;125;642;128;0;128;119;9;;12527;0;1;462;428;4;28;2;;1455;;2545;270;170
Krimpenerwaard;56048;13108;31259;6674;3699;1308;2070;0;2070;15310;38660;24540;14120;1335;24;9;14910;12306;2604;1221;0;382;285;97;;23787;14;25;635;581;0;47;7;;2115;;6375;560;330
Laarbeek;22333;4824;12634;2847;1560;468;0;0;0;3750;18590;10670;7920;531;7;4;5535;4366;1169;82;0;229;143;86;;9446;4;2;195;182;1;10;2;;355;;2470;190;80
Land van Cuijk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Landerd;15529;3437;8766;1980;1026;320;0;0;0;0;15530;9030;6500;337;6;3;7036;6036;1000;35;0;188;101;87;;6300;8;252;132;124;0;7;1;;215;;1820;260;60
Landgraaf;37591;6700;21601;5450;2866;974;20770;0;20770;12340;4480;3160;1320;1395;3;1;2460;999;1461;6;0;217;204;12;;18139;2;12;988;929;2;55;2;;900;;2540;850;170
Landsmeer;11488;2647;6430;1369;767;275;0;0;0;7530;3960;2340;1620;422;6;1;2244;1712;532;406;0;58;50;8;;4853;3;1;119;109;0;9;1;;535;;1685;60;50
Langedijk;27992;6576;15726;3572;1621;497;20;0;20;13060;14910;12330;2580;848;7;2;2366;1239;1126;337;0;167;154;13;;11567;34;4;280;250;8;16;6;;800;;3025;210;140
Lansingerland;61601;17431;34886;5369;2882;1033;21920;0;21920;26550;13140;9560;3580;1893;7;2;5325;3185;2140;312;0;385;277;108;;23802;1;15;569;521;4;42;2;;4200;;7440;500;350
Laren (NH.);11195;2435;5261;1690;1155;654;0;0;0;8250;2950;1960;990;377;1;1;1239;600;639;2;0;73;70;3;;5280;2;4;106;96;1;8;1;;250;;2310;470;40
Leek;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leerdam;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leeuwarden;123107;26354;74139;13033;6890;2691;66750;42030;24720;17330;39030;18550;20480;4648;23;5;23814;18800;5015;1748;0;791;674;117;;61492;44;384;5579;5040;98;335;35;71;5585;;12190;1750;6710
Leeuwarderadeel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leiden;124899;23448;82577;11307;5428;2139;123190;95360;27840;1440;270;160;110;3773;1;1;2186;295;1891;141;0;419;413;6;;59088;21;107;3109;2832;10;153;12;102;11850;;13010;1110;13800
Leiderdorp;27109;6026;14990;3448;1944;701;20060;14530;5520;6050;1010;850;160;821;2;1;1151;587;564;77;0;105;101;4;;12121;4;3;346;323;1;19;3;;1915;;2735;200;340
Leidschendam-Voorburg;75425;16080;42088;9241;5672;2344;70630;44480;26160;2420;2370;60;2310;2947;4;2;3252;1774;1478;310;0;252;235;18;;36781;1;6;1744;1602;24;110;8;;6175;;7505;770;860
Lelystad;77893;19098;45255;9192;3375;973;36310;0;36310;18730;22860;16020;6840;3530;6;1;23008;19985;3023;3440;50097;461;348;113;;32893;6;408;1920;1758;32;125;5;;11885;;7820;760;600
Lemsterland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Leudal;35681;6886;20180;4866;2712;1037;0;0;0;0;35680;11810;23880;847;19;8;16251;13498;2753;239;0;435;250;185;;15832;79;296;321;297;1;22;1;;565;;3695;640;110
Leusden;30030;6964;16618;3766;2003;679;9930;0;9930;8460;11640;7810;3820;814;4;2;5852;4829;1022;38;0;173;128;46;;12905;8;4;297;254;5;37;1;;835;;3735;300;190
Liesveld;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lingewaal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lingewaard;46475;10695;26028;5936;2893;923;6240;0;6240;15130;25110;13530;11580;1306;5;4;6193;3946;2247;721;0;293;236;56;;19783;11;5;490;431;1;53;5;;885;;4510;550;260
Lisse;22800;4957;12735;2856;1646;606;13080;0;13080;6700;3020;1460;1560;706;3;2;1569;930;639;36;0;131;115;16;;10217;3;4;213;187;2;22;2;;520;;2505;140;120
Lith;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Littenseradiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lochem;33590;6872;17421;4966;3143;1188;2470;0;2470;7140;23980;4810;19170;739;19;6;21303;18971;2332;291;0;375;182;193;;14997;4;1163;393;351;3;36;3;;1030;;4360;660;160
Loenen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Loon op Zand;23327;4871;13286;2951;1666;553;3970;0;3970;8320;11040;7790;3250;637;5;2;4991;3989;1003;80;0;172;135;37;;10317;8;273;223;197;3;22;1;;600;;2505;270;90
Lopik;14473;3589;8427;1495;754;208;0;0;0;40;14430;5230;9200;343;13;2;7576;6145;1431;322;0;138;98;41;;5660;0;54;123;117;0;6;0;;480;;1800;120;50
Loppersum;9614;2045;5446;1333;573;217;0;0;0;0;9610;0;9610;249;15;2;11103;9992;1111;96;0;131;61;70;;4698;6;0;204;181;1;20;2;;130;;1050;110;60
Losser;22622;4859;12491;3100;1685;487;0;0;0;5780;16840;9160;7680;633;7;3;9876;8653;1223;86;0;191;121;71;;9733;9;105;282;262;1;16;3;;475;;2060;520;130
Maarssen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maasbree;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maasdonk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maasdriel;24693;5534;14547;2818;1335;459;0;0;0;960;23730;10860;12880;642;14;5;6585;5015;1570;961;0;276;174;102;;9947;14;290;222;201;1;16;4;;470;;3550;200;80
Maasgouw;23716;4094;13475;3546;1949;652;0;0;0;0;23720;7480;16240;567;9;6;4567;2908;1658;1245;0;205;169;36;;10702;21;636;245;224;1;13;7;;315;;2560;810;100
Maashorst;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maassluis;32768;6989;18278;4476;2248;777;26740;3430;23310;5290;740;640;100;1160;1;1;845;174;671;167;0;111;109;3;;15127;2;0;750;705;4;39;2;;4990;;2720;320;200
Maastricht;121565;20524;75138;14354;8354;3195;94260;46040;48220;15470;11840;8500;3340;3973;2;1;5562;2064;3498;450;0;616;559;58;;61884;8;172;3470;3245;9;165;10;41;5495;;11750;1850;12010
Margraten;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
De Marne;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Marum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Medemblik;44809;10292;25309;5786;2656;766;0;0;0;4480;40330;18840;21490;1206;21;7;12107;8788;3319;610;13038;396;298;98;;18957;306;809;450;419;4;25;2;;1290;;5465;650;150
Meerlo-Wanssum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meerssen;18923;3526;10391;2772;1661;573;0;0;0;870;18060;10310;7750;538;7;3;2671;1447;1224;98;0;132;117;16;;8603;10;21;205;185;3;15;2;;240;;1880;290;120
Meierijstad;80815;17890;46524;9437;5237;1727;15090;0;15090;26970;38760;18120;20640;2225;16;5;18401;14634;3767;151;0;858;523;334;;34102;25;364;774;718;8;46;2;;3480;;9565;830;360
Meijel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Menaldumadeel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Menameradiel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Menterwolde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meppel;33564;7799;19123;3850;2015;777;10510;0;10510;9650;13400;7600;5800;1175;5;2;5546;4237;1309;156;0;238;189;49;;15658;2;4;700;638;9;45;8;;1190;;3375;560;430
