ID;WijkenEnBuurten;Gemeentenaam_1;PercentageEengezinswoning_36;PercentageMeergezinswoning_37;BouwjaarVoor2000_45;BouwjaarVanaf2000_46;AfstandTotHuisartsenpraktijk_105;AfstandTotGroteSupermarkt_106;AfstandTotKinderdagverblijf_107;AfstandTotSchool_108;MateVanStedelijkheid_115;Omgevingsadressendichtheid_116
6687;GM0398;Heerhugowaard                           ;78;22;71;29;1.0;0.8;0.6;0.7;2;1682
6748;GM0917;Heerlen                                 ;63;37;93;7;0.7;0.6;0.5;0.6;2;1815
6829;GM1658;Heeze-Leende                            ;90;10;82;18;1.8;0.9;0.7;0.8;4;582
6846;GM0399;Heiloo                                  ;75;25;84;16;1.0;0.7;0.6;0.7;3;1312
6875;GM0400;Den Helder                              ;73;27;92;8;1.0;0.8;0.6;0.7;2;1688
6949;GM0163;Hellendoorn                             ;85;15;87;13;1.3;1.0;0.8;0.7;4;807
6998;GM0530;Hellevoetsluis                          ;74;26;87;13;1.0;0.9;0.9;0.8;2;1530
7049;GM0794;Helmond                                 ;75;25;80;20;0.7;0.7;0.6;0.6;2;1748
7106;GM0531;Hendrik-Ido-Ambacht                     ;77;23;65;35;0.7;0.7;0.5;0.6;2;1796
7124;GM0164;Hengelo                                 ;70;30;87;13;0.9;0.7;0.5;0.7;2;1828
7197;GM0796;'s-Hertogenbosch                        ;61;39;81;19;0.9;0.7;0.6;0.6;2;1966
7319;GM0252;Heumen                                  ;83;17;85;15;1.3;1.3;0.9;0.8;4;796
7341;GM0797;Heusden                                 ;85;15;85;15;1.1;1.0;0.6;0.7;3;1077
7370;GM0534;Hillegom                                ;70;30;84;16;0.8;0.9;0.6;0.6;2;1551
7398;GM0798;Hilvarenbeek                            ;88;12;82;18;1.4;1.3;0.7;0.7;4;575
7415;GM0402;Hilversum                               ;59;41;90;10;0.6;0.6;0.5;0.5;1;2719
7468;GM1963;Hoeksche Waard                          ;84;16;84;16;1.0;0.9;0.8;0.8;4;824
7524;GM1735;Hof van Twente                          ;86;14;84;16;1.7;1.3;0.9;0.9;4;607
7583;GM1966;Het Hogeland                            ;90;10;89;11;1.3;1.4;0.8;0.9;5;411
7677;GM1911;Hollands Kroon                          ;90;10;86;14;1.5;1.5;1.1;1.1;5;431
7734;GM0118;Hoogeveen                               ;74;26;83;17;1.4;1.0;0.6;0.7;3;1202
7796;GM0405;Hoorn                                   ;72;28;83;17;0.8;0.7;0.6;0.6;2;1661
7885;GM1507;Horst aan de Maas                       ;89;11;84;16;1.5;1.5;0.8;0.8;4;563
7951;GM0321;Houten                                  ;77;23;64;36;1.6;1.6;0.6;0.7;2;1518
8024;GM0406;Huizen                                  ;72;28;90;10;0.8;0.7;0.5;0.6;2;2018
8068;GM0677;Hulst                                   ;90;10;86;14;2.1;2.0;0.9;1.0;4;501
8132;GM0353;IJsselstein                             ;70;30;79;21;0.7;0.7;0.5;0.6;2;1854
8164;GM1884;Kaag en Braassem                        ;82;18;81;19;1.2;1.4;0.9;0.8;4;597
8197;GM0166;Kampen                                  ;77;23;80;20;1.4;1.1;0.7;0.7;3;1464
8241;GM0678;Kapelle                                 ;90;10;79;21;0.8;0.7;0.7;0.7;4;642
8251;GM0537;Katwijk                                 ;59;41;80;20;0.7;0.6;0.5;0.5;2;2154
8301;GM0928;Kerkrade                                ;64;36;92;8;0.8;0.9;0.6;0.6;2;1738
8323;GM1598;Koggenland                              ;84;16;78;22;1.2;1.8;0.7;0.8;5;421
8394;GM0542;Krimpen aan den IJssel                  ;70;30;85;15;1.4;0.7;0.5;0.7;2;1954
8402;GM1931;Krimpenerwaard                          ;80;20;83;17;1.3;1.0;0.8;0.7;4;780
8483;GM1659;Laarbeek                                ;88;12;82;18;1.1;0.8;0.7;0.8;4;628
8503;GM1685;Landerd                                 ;87;13;81;19;1.1;1.4;1.0;1.0;5;476
8521;GM0882;Landgraaf                               ;76;24;90;10;0.7;0.9;0.6;0.7;3;1456
8552;GM0415;Landsmeer                               ;86;14;82;18;0.8;1.0;0.7;0.6;3;1019
8562;GM0416;Langedijk                               ;84;16;75;25;1.0;0.8;0.7;0.8;4;934
8571;GM1621;Lansingerland                           ;82;18;61;39;0.9;1.0;0.7;0.8;3;1285
8649;GM0417;Laren                                   ;82;18;89;11;0.8;0.9;0.5;0.7;3;1096
8661;GM0080;Leeuwarden                              ;65;35;86;14;1.3;0.9;0.6;0.7;2;2082
8814;GM0546;Leiden                                  ;43;57;87;13;0.5;0.7;0.4;0.7;1;3725
