"","Cluster"
"Alkmaar",1
"Alphen aan den Rijn",1
"Amersfoort",1
"Apeldoorn",1
"Deventer",1
"Dordrecht",1
"Ede",1
"Emmen",1
"Enschede",1
"Haarlemmermeer",1
"Helmond",1
"'s-Hertogenbosch",1
"Hoeksche Waard",1
"Leeuwarden",1
"Meierijstad",1
"Oss",1
"Purmerend",1
"Sittard-Geleen",1
"Venlo",1
"Westland",1
"Zaanstad",1
"Zoetermeer",1
"Zwolle",1
