"ID";"Persoonskenmerken";"RegioS";"Perioden";"BeroepsEnNietBeroepsbevolking_1";"Beroepsbevolking_2";"WerkzameBeroepsbevolking_3";"Werknemer_4";"Zelfstandige_5";"PositieInDeWerkkringOnbekend_6";"Beroepsniveau1_7";"Beroepsniveau2_8";"Beroepsniveau3_9";"Beroepsniveau4_10";"BeroepsniveauOnbekend_11";"WerklozeBeroepsbevolking_12";"Werkloosheidspercentage_13";"NietBeroepsbevolking_14";"BrutoArbeidsparticipatie_15";"NettoArbeidsparticipatie_16"
"576";"T009002";"GM1680";"2019JJ00";"      19";"      13";"      13";"      11";"       2";"       0";"       1";"       6";"       2";"       4";"       0";"       0";"     3.7";"       6";"    70.3";"    67.7"
"586";"T009002";"GM0358";"2019JJ00";"      23";"      18";"      17";"      15";"       2";"       0";"       2";"       7";"       3";"       5";"       0";"       1";"     3.5";"       5";"    77.6";"    74.9"
"596";"T009002";"GM0197";"2019JJ00";"      20";"      15";"      14";"      12";"       2";"       0";"       2";"       7";"       2";"       3";"       0";"       1";"     3.5";"       5";"    73.8";"    71.2"
"606";"T009002";"GM0059";"2019JJ00";"      21";"      15";"      15";"      12";"       3";"       0";"       2";"       7";"       2";"       3";"       0";"       1";"     4.2";"       6";"    72.8";"    69.7"
"616";"T009002";"GM0482";"2019JJ00";"      14";"      11";"      10";"       9";"       2";"       0";"       1";"       4";"       2";"       3";"       0";"       0";"     3.9";"       4";"    74.9";"    71.9"
"626";"T009002";"GM0613";"2019JJ00";"      19";"      14";"      14";"      12";"       2";"       0";"       1";"       6";"       2";"       4";"       0";"       1";"     3.8";"       4";"    77.1";"    74.1"
"636";"T009002";"GM0361";"2019JJ00";"      83";"      62";"      59";"      51";"       8";"       0";"       5";"      25";"      11";"      17";"       1";"       3";"     4.2";"      21";"    74.2";"    71.0"
"646";"T009002";"GM0141";"2019JJ00";"      54";"      39";"      37";"      31";"       6";"       0";"       4";"      18";"       6";"       9";"       0";"       2";"     4.7";"      16";"    71.2";"    67.8"
"656";"T009002";"GM0034";"2019JJ00";"     159";"     119";"     113";"      99";"      14";"       0";"      10";"      49";"      20";"      32";"       2";"       6";"     5.0";"      40";"    75.0";"    71.3"
"666";"T009002";"GM0484";"2019JJ00";"      84";"      62";"      60";"      52";"       8";"       0";"       5";"      27";"      11";"      16";"       1";"       2";"     4.0";"      21";"    74.3";"    71.3"
"676";"T009002";"GM1723";"2019JJ00";"       8";"       6";"       5";"       4";"       1";"       0";"       0";"       2";"       1";"       2";"       0";"       0";"     3.6";"       2";"    73.7";"    71.1"
"686";"T009002";"GM1959";"2019JJ00";"      41";"      31";"      30";"      25";"       6";"       0";"       3";"      16";"       5";"       7";"       0";"       1";"     3.4";"      10";"    75.7";"    73.2"
"696";"T009002";"GM0060";"2019JJ00";"       3";"       2";"       2";"       2";"       0";"       0";"       0";"       1";"       0";"       0";"       0";"       0";"     3.4";"       1";"    73.9";"    71.3"
